商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
グレンアラヒー 2011 8年 モスカテルフィニッシュ 59%クーパーズチョイス,"香り：フローラルなアロマを伴った。フルーティーなシロップ、トフィー、キャンディーオレンジ
味わい：ドライフルーツ、食欲をそそるスパイス、ジューシーでスウィートな大麦のノート
フィニッシュ：心地よい長さ。長引くスパイスとフルーツ",https://www.saketry.com/111613.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,59,700,グレンアラヒー蒸留所,2011,21
グレンロセス 2007 12年 カディラック フィニッシュ 56.3%クーパーズチョイス,"香り：ドライフルーツにした洋梨、柑橘、リンゴの皮、メロン
味わい：マジパンのノート、更なる甘美なフルーツ、スパイシーなバニラ
フィニッシュ：食欲をそそる甘やかなスパイス、中程度の余韻",https://www.saketry.com/111614.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,56.3,700,グレンロセス蒸留所,2007,19
ストラスクライド 1993 26年 52.5%クーパーズチョイス,"香り：スイートバニラとバタースコッチ、ココナッツ、鉛筆の削りカス
味わい：優しいスパイスと果実感を伴った良質で甘美なバーボン、枯れた松葉を伴ったココナッツバースト、焼きマシュマロ、さらなる甘やかなバニラ
フィニッシュ：ありえないほど古い穀物、しっかりしていて後を引く",https://www.saketry.com/111615.html,スコットランド,ローランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,52.5,700,ストラスクライド蒸留所,1993,22
ポートダンダス 1999 20年 バーボンフィニッシュクーパーズチョイス,"香り：柔らかなバニラを伴ったオイリーなココナッツ
味わい：パリッとしたハチミツ風味のオーツ、スパイス、更なるココナッツ。炙った穀物感を伴ったレモンのノート
フィニッシュ：果実を伴ったバーボンのニュアンス、バニラアイス",https://www.saketry.com/111616.html,スコットランド,ローランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,46,700,ポートダンダス蒸留所,1999,21
ロイヤルブラックラ 2010 9年 46% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111617.html,スコットランド,ハイランド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,46,700,ロイヤル ブラックラ蒸留所,2010,13
アベラワー 2010 9年 46% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111618.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,46,700,アベラワー蒸溜所,2010,24
グレンバーギー 2010 9年 46% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111619.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,46,700,グレンバーギー蒸留所,2010,9
ティーニニック 2007 11年 58.1% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111620.html,スコットランド,ハイランド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,58.1,700,ティーニニック蒸留所,2007,9
タリバーディン 2005 13年 53.7% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111621.html,スコットランド,ハイランド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,53.7,700,タリバーディン蒸留所,2005,9
モートラック 1991 24年 シェリーバット 51.6% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111622.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,51.6,700,モートラック蒸留所,1991,11
リンクウッド 1990 26年 シェリーバット 47.3% 700mlハートブラザーズ ファイネット コレクション,,https://www.saketry.com/111623.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,ハート・ブラザーズ,47.3,700,リンクウッド蒸留所,1990,13
ベンネヴィス 1999 20年 バーボンホグズヘッド 48.7% 700mlモルトマン,,https://www.saketry.com/111624.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,48.7,700,ベンネヴィス蒸留所,1999,42
アードモア 2008 10年 シェリーバット 52.9% 700mlモルトマン,,https://www.saketry.com/111626.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,52.9,700,アードモア蒸溜所,2008,24
シティーハンター ラベル グレンファークラス2010 9年 60.4%漫画ラベルシリーズ,香り：ナツメヤシなどのドライフルーツ。ナッツ入りのチョコレート。最後にリンゴの皮。フレーバー：ビターチョコのケーキ。心地よい樽のニュアンス。わずかにヨーロピアンオーク特有のオイリーさ。総合評価：ウッディすぎず、フルーティさを感じることができる、ファーストフィル・バットのグレンファークラス。,https://www.saketry.com/111632.html,スコットランド,ハイランド,漫画ラベルシリーズ,,60.4,700,グレンファークラス,2010,9
アードモア 2009 9年 56%Whisky mew,香り：甘いシナモンとピート。かすかにレモン。麦芽の殻の香り。フレーバー：塩気のあるスモーキーさ。麦汁の甘味が徐々に口の中に広がる。暖かいフィニッシュ。総合評価：バランスのよいピーティモルト。アタックはあるが、スムーズに飲める。,https://www.saketry.com/111633.html,スコットランド,ハイランド,,Whisky mew,56,700,アードモア蒸溜所,2009,9
ウシュクベ デラックス 43% 750mlウシュクベ,,https://www.saketry.com/111634.html,スコットランド,,,ホワイト・アンド・マッカイ,43,750,,,11
ウルフバーン ヘルプ・フォー・ヒーローズ 46%ウルフバーン,,https://www.saketry.com/111636.html,スコットランド,ハイランド,ウルフバーン,ウルフバーン,46,700,ウルフバーン蒸溜所,,
シングルモルト駒ヶ岳 屋久島エージング Bottled in 2020駒ヶ岳,,https://www.saketry.com/111639.html,日本,,マルスウィスキー,信州マルス,53,700,,,
グレンロセス ”オールド スコッツ ベーカリー” 22年 46% 700mlウィームス,,https://www.saketry.com/111643.html,スコットランド,スペイサイド,ウィームス,Wemyss Malts,46,700,グレンロセス蒸留所,,24
"ボウモア ""アース ウィンド ファイヤ!"" 28年 46% 700mlウィームス",,https://www.saketry.com/111644.html,スコットランド,アイラ,ウィームス,Wemyss Malts,46,700,ボウモア蒸留所,,26
サマー ガーランズ リンクウッド 21年 46% 700mlウィームス,,https://www.saketry.com/111646.html,スコットランド,スペイサイド,ウィームス,Wemyss Malts,46,700,リンクウッド蒸留所,,30
ザ ハイブ バッチストレングス2 ブレンデットモルト NCF 55.5% 700mlウィームス,,https://www.saketry.com/111649.html,スコットランド,,ウィームス,Wemyss Malts,55.5,700,,,
ピート チムニー バッチストレングス2  ブレンデットモルト NCF 57% 700mlウィームス,,https://www.saketry.com/111651.html,スコットランド,,ウィームス,Wemyss Malts,57,700,,,
ロード エルコー NAS 40% 700mlウィームス,,https://www.saketry.com/111652.html,スコットランド,,ウィームス,Wemyss Malts,40,700,,,
バニラ バースト ブレンデットモルト 46% 700mlウィームス,,https://www.saketry.com/111653.html,スコットランド,,ウィームス,Wemyss Malts,46,700,,,
フレーミング フィースト ブレンデットモルト 46% 700mlウィームス,,https://www.saketry.com/111654.html,スコットランド,,ウィームス,Wemyss Malts,46,700,,,
ブルーミング ゴース ブレンデットモルト 46% 700mlウィームス,,https://www.saketry.com/111655.html,スコットランド,,ウィームス,Wemyss Malts,46,700,,,
ゴーストシリーズ あかし カベルネフランカスク 61%小学館,香り：干しブドウ。チョコレート風味のクッキー。やや重めのワインのアロマ。 フレーバー：スパイシーでオイリー。赤ブドウの皮のタンニン。加水するとアタックが弱くなり、スムーズになる。 総合評価：セカンド・フィルのカベルネ・フランの樽のタッチが、ほどよい深みをこのあかしに与えている。,https://www.saketry.com/111658.html,日本,,ゴーストシリーズ,江井ヶ嶋酒造,61,500,江井ヶ嶋蒸溜所,,12
総務部総務課 山口六平太 グレンマレイ 2008 57.8%小学館,香り：透明感のあるアロマ。甘いキャンディーやトフィー。さわやかな柑橘系の果肉。 フレーバー：ライトでフルーティー。モルティーで、かすかにジンジャー。スムーズでソフト。加水するとさらにスムーズになる。 総合評価：57.8％のアルコール度数を感じさせないほどにスムーズ。すぐもう一杯飲みたくなる。,https://www.saketry.com/111659.html,スコットランド,スペイサイド,漫画ラベルシリーズ,,57.8,700,グレンマレイ蒸留所,,26
シングルモルト津貫 ザ ファースト 59%本坊酒造,,https://www.saketry.com/111660.html,日本,,マルス津貫,本坊酒造,59,700,マルス津貫蒸溜所,2020,
テイスティング・セットVol. 12スコッチモルト販売,,https://www.saketry.com/111666.html,スコットランド,,スコッチモルトセレクション,スコッチモルト販売,,50,,,
ハートブラザーズ テイスティング・セット 20ml x 5ハートブラザーズ,,https://www.saketry.com/111679.html,スコットランド,,,ハート・ブラザーズ,,100,,,
